false,MS Dhoni (c), Rising Pune Supergiants,Pune
true,Faf du Plessis, Rising Pune Supergiants,Pune
false,Deepak Chahar, Rising Pune Supergiants,Pune
true,Shane Watson, Royal Challengers Bangalore,Bangalore
false,Kedar Jadhav, Royal Challengers Bangalore,Bangalore
false,Karn Sharma, Mumbai Indians,Mumbai
false,Harbhajan Singh, Mumbai Indians,Mumbai
false,Ambati Rayudu, Mumbai Indians,Mumbai
false,Shardul Thakur, Kings XI Punjab,Punjab
false,Suresh Raina, Gujarat Lions,Gujarat
false,Ravindra Jadeja, Gujarat Lions,Gujarat
true,Dwayne Bravo, Gujarat Lions,Gujarat
true,Sam Billings, Delhi Daredevils,Delhi
true,Imran Tahir, 
false,Chaitanya Bishnoi, 
false,Monu Kumar, 
true,Mitchell Santner, 
false,KM Asif, 
true,Lungisani Ngidi, 
false,Kanishk Seth, 
false,Dhruv Shorey, 
false,Murali Vijay, 
true,Mark Wood, 
false,Kshitiz Sharma, 
false,N Jagdeesan, 
